Treatment	Group	Player	Proposal R1	Pledge R1	Contribution R1	Contribution R2	Contribution R3	Contribution R4	Contribution R5	Proposal R6	Pledge R6	Contribution R6	Contribution R7	Contribution R8	Contribution R9	Contribution R10
Certainty	10	2	120	20	4	2	0	2	2	120	20	2	0	4	2	2
Certainty	10	3	140	30	4	4	4	4	4	140	30	4	4	4	2	0
Certainty	10	4	120	20	2	2	2	2	2	120	20	2	2	2	2	0
Certainty	10	5	120	20	2	2	2	2	2	120	20	2	2	2	0	0
Certainty	10	6	120	20	4	2	4	2	4	120	20	2	4	2	0	0
Uncertainty	1	1	100	20	2	4	2	2	2	80	20	2	2	2	2	0
Uncertainty	1	2	120	16	2	2	0	2	0	16	16	2	2	0	2	0
Uncertainty	1	3	100	20	4	2	4	2	2	100	20	2	2	2	0	2
Uncertainty	1	4	120	20	4	2	2	2	2	140	22	2	2	2	0	0
Uncertainty	1	5	150	25	2	4	2	4	2	150	25	4	2	2	2	0
Uncertainty	1	6	120	20	2	4	2	2	4	150	25	2	2	2	4	2
Uncertainty	2	1	200	12	2	2	0	2	0	150	18	2	0	2	0	0
Uncertainty	2	2	120	20	2	2	2	2	2	120	20	2	2	2	2	2
Uncertainty	2	3	100	10	0	2	0	0	2	120	10	0	2	2	2	0
Uncertainty	2	4	100	10	2	0	2	0	2	100	20	0	4	2	0	0
Uncertainty	2	5	120	21	2	0	4	0	2	84	14	0	4	0	0	2
Uncertainty	2	6	120	20	2	2	2	2	2	120	20	2	2	2	2	2
Uncertainty	3	1	180	2	0	0	0	2	0	150	2	0	2	0	0	2
Uncertainty	3	2	160	16	2	2	2	2	2	160	16	2	2	2	2	4
Uncertainty	3	3	140	22	2	2	2	2	2	140	22	2	2	2	2	2
Uncertainty	3	4	120	20	4	2	2	2	2	120	25	4	2	0	2	2
Uncertainty	3	5	50	12	2	2	0	2	0	60	14	2	0	2	0	0
Uncertainty	3	6	120	24	2	2	2	2	2	100	22	2	0	0	2	0
Uncertainty	4	1	140	20	2	2	2	2	2	120	20	4	2	2	2	2
Uncertainty	4	2	120	20	2	2	2	2	2	120	20	0	2	2	0	2
Uncertainty	4	3	100	18	2	0	2	2	0	100	15	2	2	2	2	0
Uncertainty	4	4	110	25	2	4	0	2	2	110	20	2	4	2	2	2
Uncertainty	4	5	120	12	2	2	2	0	2	110	12	0	2	2	0	0
Uncertainty	4	6	110	15	2	2	2	2	0	100	16	2	2	2	0	2
Uncertainty	5	1	110	30	2	2	4	4	2	120	30	4	2	4	2	4
Uncertainty	5	2	140	24	2	4	2	2	2	140	24	4	2	2	2	2
Uncertainty	5	3	100	24	2	4	0	4	2	100	24	4	2	2	2	2
Uncertainty	5	4	150	12	2	2	2	4	0	120	20	2	2	0	2	4
Uncertainty	5	5	200	25	0	0	0	4	0	200	24	4	4	4	4	2
Uncertainty	5	6	120	20	2	0	2	2	2	110	14	2	2	0	2	0
Uncertainty	6	1	180	30	0	0	0	2	2	140	20	0	2	0	2	0
Uncertainty	6	2	100	10	2	0	0	2	2	110	14	2	0	2	0	0
Uncertainty	6	3	120	24	2	2	2	2	2	120	20	2	0	2	0	0
Uncertainty	6	4	150	20	0	0	0	0	0	120	20	0	0	0	0	0
Uncertainty	6	5	120	20	2	2	2	2	2	120	20	2	0	0	0	0
Uncertainty	6	6	80	12	2	0	2	0	2	80	10	0	2	0	0	0
Uncertainty	7	1	180	30	2	2	4	0	2	100	15	2	2	0	2	2
Uncertainty	7	2	200	20	2	2	2	2	2	200	20	2	2	2	2	2
Uncertainty	7	3	94	18	0	2	2	4	2	80	18	0	2	2	0	0
Uncertainty	7	4	12	10	4	0	4	2	0	240	10	4	0	2	4	0
Uncertainty	7	5	2	4	2	4	0	2	2	100	10	2	0	4	2	2
Uncertainty	7	6	100	10	2	0	4	2	4	110	18	2	2	2	2	2
Uncertainty	8	1	120	15	2	0	2	4	2	20	15	2	2	0	2	2
Uncertainty	8	2	110	12	2	4	0	2	0	110	13	0	0	0	2	2
Uncertainty	8	3	180	20	2	2	4	2	0	120	18	2	2	0	0	4
Uncertainty	8	4	156	26	2	2	4	2	2	132	20	2	2	2	2	2
Uncertainty	8	5	120	20	2	4	2	0	2	120	20	2	2	0	4	2
Uncertainty	8	6	120	20	2	2	2	2	2	120	20	2	2	2	2	0
Uncertainty	9	1	130	20	2	2	2	2	2	130	22	2	2	0	4	4
Uncertainty	9	2	120	20	2	2	2	0	2	120	20	2	0	2	2	0
Uncertainty	9	3	180	30	2	4	4	4	4	180	30	4	4	4	0	0
Uncertainty	9	4	120	20	2	2	0	0	2	120	10	0	0	2	0	2
Uncertainty	9	5	180	10	2	0	0	2	0	150	5	2	0	0	2	0
Uncertainty	9	6	120	20	2	2	4	4	2	120	20	2	2	2	0	0
Uncertainty	10	1	120	20	2	4	0	2	0	120	20	4	2	2	2	2
Uncertainty	10	2	120	12	2	2	2	2	2	100	16	0	2	0	0	0
Uncertainty	10	3	120	20	2	2	2	2	2	120	20	0	2	0	0	0
Uncertainty	10	4	180	3	2	2	4	2	2	160	30	2	4	2	2	0
Uncertainty	10	5	140	25	2	0	2	0	2	130	22	2	0	2	0	0
Uncertainty	10	6	120	20	4	2	2	2	2	120	20	2	2	2	2	2
WarningWide	1	1	120	20	2	2	2	0	2	100	20	0	2	2	0	2
WarningWide	1	2	120	12	2	2	2	2	0	120	12	0	0	2	2	2
WarningWide	1	3	140	18	2	2	2	2	0	140	18	2	2	2	2	4
WarningWide	1	4	120	14	2	0	2	2	2	140	16	2	2	2	0	2
WarningWide	1	5	40	25	4	2	2	2	4	130	35	2	2	2	2	2
WarningWide	1	6	120	18	2	2	0	2	2	125	20	2	4	2	0	0
WarningWide	2	1	0	0	0	0	0	0	0	59	0	0	0	0	0	0
WarningWide	2	2	150	20	4	4	4	4	4	10	20	0	0	0	4	4
WarningWide	2	3	120	20	0	2	2	4	0	125	20	4	0	0	0	4
WarningWide	2	4	90	20	2	2	4	2	4	150	30	2	4	4	0	0
WarningWide	2	5	100	15	0	0	0	0	0	90	5	2	0	2	0	0
WarningWide	2	6	120	20	2	2	2	2	2	120	24	2	0	4	4	4
WarningWide	3	1	150	20	2	2	2	0	2	100	16	2	2	2	2	2
WarningWide	3	2	120	30	2	4	2	4	2	120	28	2	2	2	4	4
WarningWide	3	3	120	30	2	4	4	2	4	120	30	2	4	4	2	2
WarningWide	3	4	110	18	2	4	0	2	2	160	22	2	2	2	4	0
WarningWide	3	5	120	20	2	2	2	2	2	120	20	2	2	2	2	2
WarningWide	3	6	120	20	2	2	2	2	0	16	16	0	4	4	2	2
WarningWide	4	1	210	32	4	4	2	2	2	156	24	4	4	2	0	2
WarningWide	4	2	160	22	4	4	2	0	2	150	25	2	2	2	4	2
WarningWide	4	3	120	20	0	0	2	2	0	100	10	4	0	2	0	0
WarningWide	4	4	110	20	2	2	2	2	2	120	22	2	2	2	2	4
WarningWide	4	5	100	15	4	4	4	4	0	100	15	4	4	2	0	0
WarningWide	4	6	110	11	0	2	0	0	2	50	15	2	0	0	2	4
WarningWide	5	1	100	4	0	2	4	2	0	160	2	2	4	0	0	2
WarningWide	5	2	150	25	4	4	2	4	2	156	24	4	2	4	2	2
WarningWide	5	3	120	20	2	2	2	0	2	130	20	2	2	2	4	2
WarningWide	5	4	180	30	2	2	2	2	4	140	24	4	4	2	4	4
WarningWide	5	5	120	16	0	2	0	2	0	120	16	0	2	2	2	0
WarningWide	5	6	200	26	2	2	2	2	4	156	40	4	4	4	4	4
WarningWide	6	1	168	28	2	2	4	2	0	156	26	2	0	4	2	0
WarningWide	6	2	120	20	2	2	2	2	2	40	8	2	2	2	0	0
WarningWide	6	3	130	18	0	2	2	2	2	130	16	0	4	0	2	2
WarningWide	6	4	120	20	2	2	2	2	2	120	20	2	2	2	2	2
WarningWide	6	5	90	10	2	0	2	2	2	110	12	2	4	0	0	2
WarningWide	6	6	130	14	2	4	0	0	4	180	25	0	0	4	4	2
WarningWide	7	1	120	20	2	2	2	0	2	100	20	0	0	0	0	0
WarningWide	7	2	160	18	2	4	2	4	2	140	20	4	0	2	4	0
WarningWide	7	3	120	20	0	2	0	4	0	120	15	0	0	0	0	0
WarningWide	7	4	130	20	2	2	2	2	0	120	18	4	2	0	4	0
WarningWide	7	5	120	0	0	0	0	0	0	120	0	0	0	0	0	0
WarningWide	7	6	110	20	2	2	0	0	0	140	8	4	0	0	0	0
WarningWide	8	1	100	30	2	4	2	4	0	120	25	2	4	2	2	0
WarningWide	8	2	121	20	0	2	0	0	0	121	20	0	2	2	2	2
WarningWide	8	3	180	25	2	0	2	2	0	130	0	0	0	0	4	4
WarningWide	8	4	100	20	2	0	2	0	0	120	25	4	4	0	0	0
WarningWide	8	5	90	17	0	0	0	2	2	130	15	0	0	2	0	4
WarningWide	8	6	200	20	4	4	4	2	2	150	20	0	0	0	0	0
WarningWide	9	1	120	0	0	0	0	0	0	120	2	0	0	2	0	0
WarningWide	9	2	140	24	2	4	2	4	4	120	20	4	0	0	2	2
WarningWide	9	3	140	25	2	2	2	2	2	120	20	2	2	2	4	2
WarningWide	9	4	140	15	0	0	4	4	4	150	30	4	4	4	0	2
WarningWide	9	5	140	0	0	2	2	0	2	150	22	4	2	2	2	2
WarningWide	9	6	120	22	4	2	0	4	4	120	22	4	2	0	2	0
WarningWide	10	1	120	30	2	2	2	2	4	120	20	0	2	2	2	2
WarningWide	10	2	120	20	4	2	2	4	0	120	16	2	2	2	2	0
WarningWide	10	3	140	20	2	2	2	2	2	130	12	2	2	2	2	2
WarningWide	10	4	140	30	4	2	4	2	2	140	24	2	2	2	4	4
WarningWide	10	5	120	14	2	2	4	2	4	120	10	2	2	2	0	2
WarningWide	10	6	140	22	2	2	2	2	2	140	22	2	2	4	2	2
WarningNarrow	1	1	240	40	4	4	4	4	4	240	40	4	4	4	4	4
WarningNarrow	1	2	150	30	4	4	4	4	4	40	20	2	2	2	2	0
WarningNarrow	1	3	160	20	4	2	4	2	2	132	10	2	2	2	0	0
WarningNarrow	1	4	150	20	2	2	4	2	4	124	20	4	4	2	0	0
WarningNarrow	1	5	140	14	2	2	2	2	2	16	16	2	2	2	0	0
WarningNarrow	1	6	150	25	2	2	4	4	2	132	22	2	2	0	0	0
WarningNarrow	2	1	200	10	0	2	0	0	2	132	24	4	2	2	2	4
WarningNarrow	2	2	120	20	0	0	0	0	0	132	20	4	0	4	0	4
WarningNarrow	2	3	130	26	2	2	4	2	2	132	24	2	4	2	4	4
WarningNarrow	2	4	120	20	2	0	4	0	0	110	20	2	0	0	2	0
WarningNarrow	2	5	60	20	2	2	2	0	2	100	20	2	2	2	2	2
WarningNarrow	2	6	20	20	2	4	2	0	2	120	20	2	2	2	2	4
WarningNarrow	3	1	60	8	0	2	0	0	0	132	22	4	4	4	0	4
