Treatment	Group	Player	Risk Aversion	Loss Aversion	Fairness	Trust	Altruism	Temporal Discounting								
WarningWide	3	5	5	5	10	5	8	7								
WarningWide	3	6	4	6	7	8	5	7								
WarningWide	4	1	8	4	10	0	6	10								
WarningWide	4	2	4	6	9	5	6	6								
WarningWide	4	3	5	5	8	1	2	5								
WarningWide	4	4	5	9	9	5	8	2								
WarningWide	4	5	8	9	10	10	10	5								
WarningWide	4	6	8	10	8	4	5	9								
WarningWide	5	1	9	7	10	9	3	10								
WarningWide	5	2	7	8	10	8	8	8								
WarningWide	5	3	3	5	8	5	7	7								
WarningWide	5	4	1	7	7	2	6	8								
WarningWide	5	5	8	7	5	7	5	8								
WarningWide	5	6	10	5	10	5	5	10								
WarningWide	6	1	5	8	10	10	8	8								
WarningWide	6	2	7	9	9	5	10	8								
WarningWide	6	3	5	5	6	3	9	7								
WarningWide	6	4	5	5	8	5	8	7								
WarningWide	6	5	7	6	9	4	7	8								
WarningWide	6	6	7	4	8	8	8	7								
WarningWide	7	1	5	10	8	7	6	7								
WarningWide	7	2	8	4	9	8	7	9								
WarningWide	7	3	3	2	10	5	3	7								
WarningWide	7	4	7	5	10	2	5	8								
WarningWide	7	5	3	7	5	2	5	9								
WarningWide	7	6	7	8	10	8	6	6								
WarningWide	8	1	7	5	10	7	10	3								
WarningWide	8	2	7	5	8	4	7	7								
WarningWide	8	3	8	7	8	7	10	9								
WarningWide	8	4	8	5	10	7	7	8								
WarningWide	8	5	3	8	9	2	7	9								
WarningWide	8	6	6	8	7	2	3	7								
WarningWide	9	1	7	6	7	8	6	7								
WarningWide	9	2	7	5	10	7	6	6								
WarningWide	9	3	2	3	10	8	4	7								
WarningWide	9	4	8	2	10	5	8	3								
WarningWide	9	5	8	6	7	6	7	8								
WarningWide	9	6	7	9	10	9	8	9								
WarningWide	10	1	7	2	3	2	6	6								
WarningWide	10	2	0	5	4	10	10	10								
WarningWide	10	3	10	2	10	6	4	5								
WarningWide	10	4	7	5	10	8	8	7								
WarningWide	10	5	5	8	8	8	8	8								
WarningWide	10	6	2	6	8	8	10	7								
WarningNarrow	1	1	3	5	10	6	10	10								
WarningNarrow	1	2	6	0	10	7	10	10								
WarningNarrow	1	3	5	5	9	3	7	9								
WarningNarrow	1	4	7	4	5	7	8	10								
WarningNarrow	1	5	6	9	10	10	9	9								
WarningNarrow	1	6	5	2	10	5	10	7								
WarningNarrow	2	1	7	9	9	5	4	8								
WarningNarrow	2	2	9	6	4	0	1	10								
WarningNarrow	2	3	7	10	10	5	7	6								
WarningNarrow	2	4	4	6	9	10	10	6								
WarningNarrow	2	5	4	10	10	2	3	5								
WarningNarrow	2	6	2	5	8	5	10	5								
WarningNarrow	3	1	7	8	10	2	8	6								
WarningNarrow	3	2	3	6	9	9	4	6								
WarningNarrow	3	3	4	9	9	8	8	6								
WarningNarrow	3	4	2	9	10	6	5	6								
WarningNarrow	3	5	6	3	7	10	7	7								
WarningNarrow	3	6	2	6	4	7	7	8								
WarningNarrow	4	1	4	5	10	8	7	9								
WarningNarrow	4	2	7	4	5	9	8	6								
WarningNarrow	4	3	8	9	10	3	7	8								
WarningNarrow	4	4	7	8	10	9	10	10								
WarningNarrow	4	5	5	8	5	2	6	4								
WarningNarrow	4	6	2	9	9	5	9	8								
WarningNarrow	5	1	5	5	10	5	7	7								
WarningNarrow	5	2	3	10	7	1	1	6								
WarningNarrow	5	3	8	6	8	6	8	9								
WarningNarrow	5	4	3	0	5	9	9	10								
WarningNarrow	5	5	5	7	10	5	7	8								
WarningNarrow	5	6	8	8	6	6	8	8								
WarningNarrow	6	1	4	6	10	8	8	7								
WarningNarrow	6	2	6	7	10	8	8	8								
WarningNarrow	6	3	2	8	9	5	7	5								
WarningNarrow	6	4	8	2	9	7	8	1								
WarningNarrow	6	5	7	5	9	1	8	7								
WarningNarrow	6	6	8	7	9	2	5	9								
WarningNarrow	7	1	4	8	9	6	7	8								
WarningNarrow	7	2	6	10	8	9	4	2								
WarningNarrow	7	3	4	8	7	6	9	6								
WarningNarrow	7	4	8	3	10	5	10	9								
WarningNarrow	7	5	8	2	0	8	8	7								
WarningNarrow	7	6	7	8	10	0	2	6								
WarningNarrow	8	1	3	7	10	6	7	7								
WarningNarrow	8	2	8	2	10	10	10	8								
WarningNarrow	8	3	4	8	3	8	8	4								
WarningNarrow	8	4	3	8	10	5	8	8								
WarningNarrow	8	5	8	4	10	2	8	6								
WarningNarrow	8	6	9	9	10	9	8	8								
WarningNarrow	9	1	2	9	4	3	7	7								
WarningNarrow	9	2	5	7	10	7	8	8								
WarningNarrow	9	3	3	7	9	6	6	8								
WarningNarrow	9	4	2	7	10	5	10	9								
WarningNarrow	9	5	8	3	9	9	7	7								
WarningNarrow	9	6	7	5	10	3	9	7								
WarningNarrow	10	1	3	8	7	10	7	8								
WarningNarrow	10	2	7	8	9	5	8	8								
WarningNarrow	10	3	5	8	10	3	6	7								
WarningNarrow	10	4	8	4	5	2	6	10								
WarningNarrow	10	5	4	7	8	9	8	7								
WarningNarrow	10	6	3	8	7	3	7	8								
